Region label,Gross value ($)
Australian Capital Territory,25773861.32
New South Wales,27578319948.69
Northern Territory,1014509592.8399999
Queensland,22107490543.05
South Australia,8759470972.27
Tasmania,2669293853.27
Victoria,26260223956.7
Western Australia,16533874616.380001
